@relation sms

@attribute ncharacter real
@attribute ndollars real
@attribute nnumeric real
@attribute nuppercase real
@attribute type {ham, spam}

@data
160,0,28,3,ham
173,0,47,6,ham
171,0,19,1,spam
179,0,26,3,ham
169,0,19,0,ham
174,0,24,2,spam
184,0,22,1,ham
154,0,35,3,ham
170,0,33,0,spam
156,0,26,4,spam
172,0,21,1,ham
167,0,20,3,spam
151,0,2,1,spam
131,0,11,6,ham
164,0,35,3,ham
103,0,5,2,spam
81,0,27,0,ham
170,0,14,6,ham
185,0,33,0,ham
132,0,21,1,spam
153,0,13,1,ham
173,0,16,1,ham
147,0,15,4,ham
77,0,15,1,ham
90,0,11,1,ham
126,0,19,1,ham
173,0,8,4,ham
126,0,16,2,ham
142,0,19,1,ham
81,0,19,0,ham
156,0,5,1,ham
160,0,21,0,ham
171,0,22,1,ham
118,0,13,0,ham
175,0,26,4,spam
172,0,26,2,ham
117,0,13,0,ham
127,0,15,2,ham
174,0,19,0,ham
172,0,21,2,ham
172,0,24,3,ham
171,0,2,0,ham
167,0,13,3,spam
113,0,12,0,ham
128,0,4,3,ham
173,0,20,0,ham
156,0,24,1,ham
187,0,21,1,ham
142,0,11,0,ham
168,0,5,1,ham
116,0,12,1,ham
146,0,14,3,ham
172,0,15,1,ham
168,0,17,6,ham
170,0,13,1,spam
130,0,17,3,ham
149,0,22,2,spam
168,1,22,0,ham
168,0,18,4,ham
166,0,24,1,ham
169,0,23,0,ham
148,0,10,0,ham
177,0,23,2,ham
162,0,19,2,ham
120,0,13,0,ham
85,0,2,0,spam
161,0,24,0,ham
174,0,16,5,spam
164,0,37,3,spam
171,0,33,1,ham
156,0,10,2,ham
159,0,15,3,ham
170,0,16,3,ham
171,0,31,5,ham
167,0,12,4,ham
149,0,22,1,ham
152,0,17,0,ham
143,0,19,1,ham
111,0,11,2,ham
164,0,28,1,ham
159,0,22,2,ham
157,0,20,1,ham
134,0,2,1,ham
36,0,0,0,ham
130,0,0,17,ham
130,0,2,17,ham
170,0,6,31,ham
147,0,1,23,ham
153,0,1,27,ham
160,0,6,20,ham
129,0,0,1,ham
29,0,0,0,ham
42,0,0,0,ham
145,0,4,1,spam
140,0,2,1,ham
139,0,2,22,spam
88,0,0,0,ham
40,0,0,6,ham
117,0,0,1,ham
164,0,0,25,ham
96,0,2,1,ham
172,0,1,1,ham
46,0,1,6,ham
96,0,0,0,ham
15,0,1,0,ham
102,0,2,1,ham
168,0,3,31,ham
99,0,2,0,ham
137,0,1,22,ham
95,0,1,1,ham
92,0,2,0,ham
51,0,0,8,ham
100,0,2,20,ham
126,0,0,26,ham
132,0,3,0,spam
113,0,0,1,ham
60,0,2,1,ham
102,0,0,0,spam
81,0,0,0,ham
41,0,0,0,ham
95,0,0,0,spam
38,0,0,0,spam
172,0,3,0,ham
61,0,2,7,spam
99,0,1,0,ham
91,0,0,5,ham
140,0,0,0,ham
163,0,0,32,ham
165,0,1,0,ham
169,0,0,34,ham
136,0,0,29,ham
137,0,1,28,ham
153,0,2,1,ham
119,0,3,21,ham
136,0,2,22,spam
144,0,2,28,spam
138,0,2,25,ham
46,0,0,6,ham
112,0,0,0,ham
81,0,1,12,spam
62,0,0,0,ham
170,0,4,22,ham
62,0,1,0,ham
65,0,0,0,ham
37,0,0,5,ham
76,0,0,0,ham
131,0,3,24,ham
109,0,0,2,spam
26,0,0,3,ham
164,0,2,2,ham
142,0,2,25,ham
73,0,0,11,ham
65,0,1,1,ham
40,0,1,0,ham
67,0,0,0,ham
96,0,0,19,ham
42,0,1,0,ham
34,0,0,5,ham
100,0,2,0,ham
128,0,0,0,spam
154,0,3,29,spam
68,0,2,12,ham
79,0,0,15,ham
101,0,0,17,ham
29,0,1,2,spam
93,0,0,2,spam
139,0,0,2,ham
130,0,1,1,spam
136,0,3,0,ham
142,0,0,1,ham
30,0,0,3,ham
139,0,0,0,ham
124,0,0,0,ham
118,0,0,1,ham
168,0,0,0,ham
140,0,0,0,ham
130,0,1,0,ham
62,0,10,9,ham
69,0,2,11,ham
169,0,3,0,ham
119,0,0,23,ham
106,0,0,0,ham
149,0,1,31,ham
86,0,0,0,ham
125,0,1,20,ham
164,0,0,0,ham
24,0,1,3,ham
159,0,1,20,ham
128,0,2,18,spam
161,0,3,25,ham
105,0,0,0,ham
104,0,0,0,spam
147,0,2,0,ham
81,0,0,0,ham
82,0,0,13,ham
67,0,1,13,ham
97,0,2,3,ham
29,0,0,3,ham
118,0,0,25,ham
46,0,0,7,ham
153,0,2,4,ham
163,0,4,26,ham
106,0,3,13,ham
95,0,1,0,ham
37,0,1,5,ham
17,0,0,0,ham
31,0,1,0,ham
172,0,3,1,ham
36,0,1,0,ham
56,0,0,5,ham
105,0,3,0,ham
55,0,0,0,ham
65,0,1,2,ham
43,0,0,5,ham
118,0,3,23,ham
38,0,0,6,ham
70,0,0,0,ham
88,0,1,1,ham
26,0,0,0,ham
170,0,1,0,ham
137,0,0,0,ham
66,0,0,0,ham
140,0,0,0,ham
118,0,4,0,ham
86,0,7,13,ham
171,0,1,4,spam
159,0,0,0,ham
114,0,1,0,spam
35,0,0,4,ham
168,0,8,1,ham
26,0,0,3,ham
170,0,0,0,ham
169,0,0,0,ham
159,0,1,0,ham
55,0,0,7,ham
107,0,0,15,spam
91,0,3,11,ham
51,0,0,7,ham
51,0,0,4,ham
43,0,0,0,ham
55,0,0,0,spam
106,0,4,0,ham
106,0,0,0,ham
149,0,1,0,ham
126,0,1,1,ham
37,0,2,4,ham
73,0,0,12,ham
58,0,0,0,ham
114,0,2,0,ham
147,0,1,0,ham
99,0,0,20,spam
169,0,0,25,ham
113,0,1,20,ham
33,0,0,5,ham
18,0,0,0,ham
135,0,3,0,ham
132,0,2,24,ham
71,0,0,10,ham
52,0,1,0,ham
126,0,1,2,spam
22,0,1,0,ham
92,0,2,1,ham
111,0,2,19,ham
143,0,3,28,ham
85,0,1,12,spam
16,0,0,2,ham
135,0,0,2,ham
25,0,1,0,ham
105,0,3,20,spam
152,0,2,33,ham
96,0,0,0,spam
91,0,0,0,ham
157,0,0,0,ham
41,0,2,0,spam
114,0,3,18,ham
171,0,3,27,ham
45,0,0,0,ham
164,0,4,0,ham
52,0,0,10,ham
100,0,0,22,ham
56,0,0,9,ham
158,0,0,1,ham
23,0,2,2,ham
147,0,3,0,ham
33,0,0,0,ham
122,0,0,0,ham
57,0,0,0,ham
152,0,0,0,ham
33,0,0,0,ham
84,0,0,0,ham
62,0,1,0,ham
92,2,7,0,ham
171,0,23,0,ham
44,0,0,0,ham
52,0,0,0,ham
143,0,0,0,ham
83,0,0,0,spam
65,0,0,0,ham
37,0,0,0,ham
43,0,0,0,ham
149,0,4,0,ham
63,0,2,0,ham
57,0,1,1,ham
37,0,0,0,ham
62,0,0,0,ham
76,0,1,0,spam
70,0,0,0,ham
99,0,0,2,ham
71,0,0,0,ham
92,0,0,0,spam
37,0,0,0,ham
68,0,0,1,ham
133,0,4,1,spam
60,0,1,0,ham
131,0,0,1,ham
93,0,1,0,ham
69,0,0,0,ham
70,0,0,0,ham
110,0,0,0,ham
167,0,12,1,spam
106,0,0,0,ham
39,0,0,0,ham
65,0,0,0,ham
56,0,0,0,ham
105,0,1,0,ham
136,0,4,1,ham
118,0,1,1,ham
171,0,0,3,ham
150,0,1,0,ham
80,0,0,0,ham
152,0,0,0,ham
47,0,0,0,ham
45,0,0,0,ham
92,0,0,0,spam
133,0,2,0,ham
155,0,0,0,spam
88,0,0,0,ham
159,0,0,0,ham
43,0,0,0,ham
67,0,4,0,ham
52,0,3,0,ham
38,0,3,0,ham
123,0,0,0,ham
108,0,0,0,ham
55,0,1,0,ham
130,0,1,0,ham
44,0,0,0,ham
145,0,0,0,ham
121,0,0,0,ham
114,0,0,0,spam
114,0,1,0,ham
154,0,0,0,ham
134,0,1,2,ham
117,0,1,2,ham
53,0,0,0,ham
65,0,1,0,ham
73,0,0,2,ham
71,0,0,0,spam
54,0,0,1,spam
126,0,1,0,ham
70,0,0,0,ham
44,0,0,0,ham
55,0,0,0,ham
100,3,11,0,ham
89,2,7,0,ham
70,0,0,1,ham
79,0,0,0,ham
113,0,0,0,spam
66,0,0,0,spam
113,0,0,1,ham
92,0,0,0,ham
50,0,0,1,ham
82,0,0,0,ham
124,0,0,0,ham
101,0,0,0,ham
60,0,4,0,spam
153,0,0,0,ham
142,0,0,0,ham
93,0,0,0,ham
76,0,1,0,ham
81,2,8,0,ham
119,0,0,0,ham
80,0,11,0,ham
80,0,0,0,ham
86,0,0,0,ham
55,0,0,0,spam
29,0,0,0,ham
55,0,0,0,ham
49,0,0,0,ham
44,0,0,0,spam
121,0,0,0,ham
132,0,0,0,ham
27,0,0,0,ham
43,0,0,0,ham
45,0,0,0,ham
76,0,0,0,ham
73,0,0,0,ham
78,0,0,0,ham
125,0,0,1,ham
39,0,0,0,ham
75,0,0,1,ham
60,0,0,0,spam
72,0,0,0,ham
99,0,0,0,ham
139,0,2,1,ham
95,0,0,0,ham
64,0,0,0,ham
59,0,1,0,ham
78,0,0,0,ham
81,0,0,0,ham
107,0,0,0,ham
69,0,0,0,ham
21,0,0,0,ham
44,0,1,0,ham
35,0,0,0,ham
33,0,0,0,spam
93,0,0,0,ham
33,0,0,0,ham
39,0,0,0,spam
55,0,0,0,ham
27,0,0,0,spam
30,0,0,1,ham
46,0,0,0,spam
38,0,3,0,ham
64,0,4,0,spam
76,0,0,0,ham
27,0,0,0,ham
53,0,0,0,ham
91,0,0,0,ham
93,0,0,0,ham
24,0,0,1,ham
65,0,0,1,ham
93,0,0,0,ham
15,0,3,0,spam
36,0,0,0,ham
18,0,0,0,ham
33,0,0,0,ham
16,0,0,0,ham
73,0,0,2,ham
95,0,0,0,ham
64,0,0,0,ham
93,0,1,1,ham
21,0,0,0,ham
42,0,1,0,ham
46,0,0,0,ham
16,0,0,0,ham
86,0,0,1,ham
35,0,0,0,ham
28,0,0,0,ham
40,0,0,0,ham
54,0,0,0,ham
57,0,0,0,ham
56,0,0,0,ham
30,0,0,0,ham
64,0,0,0,ham
57,0,0,0,spam
76,0,4,0,ham
39,0,0,0,ham
48,0,0,0,ham
22,0,0,0,ham
27,0,0,0,ham
27,0,0,0,ham
72,0,0,0,ham
41,0,0,0,spam
98,0,8,0,ham
94,0,0,0,ham
171,0,0,0,ham
17,0,0,0,ham
78,0,0,0,ham
53,0,0,1,ham
56,0,1,0,ham
57,0,1,0,spam
28,0,0,0,ham
43,0,1,0,ham
35,0,0,0,spam
80,0,0,2,ham
125,0,0,0,ham
78,0,0,0,ham
60,0,0,0,ham
70,0,0,0,ham
99,0,0,0,ham
34,0,0,0,ham
42,0,0,0,ham
32,0,0,0,ham
38,0,0,0,ham
156,0,0,1,ham
75,0,0,0,ham
38,0,0,0,spam
79,0,3,0,ham
49,0,0,1,ham
59,0,1,0,ham
87,0,0,0,ham
48,0,0,0,spam
36,0,0,0,ham
122,0,0,1,ham
72,0,2,0,ham
63,0,0,0,ham
25,0,0,0,ham
76,0,0,0,ham
61,0,0,0,ham
103,0,0,1,ham
90,0,0,0,ham
88,0,0,0,ham
23,0,0,0,ham
83,0,0,0,ham
66,0,0,0,spam
70,0,0,1,ham
116,0,0,0,ham
41,0,0,0,ham
49,0,0,0,ham
52,0,0,0,ham
48,0,0,0,ham
82,0,0,0,ham
33,0,0,0,ham
96,0,0,3,ham
85,0,2,0,spam
41,0,0,1,ham
45,0,0,0,spam
40,0,0,0,spam
132,1,6,0,ham
79,0,2,1,ham
44,0,1,0,ham
37,0,0,0,ham
41,0,0,0,ham
88,0,0,1,ham
25,0,0,0,spam
26,0,0,0,ham
58,0,0,0,spam
90,0,0,0,ham
58,0,2,0,spam
43,0,1,0,ham
70,0,1,2,spam
62,0,7,0,ham
66,0,1,0,ham
32,0,0,0,ham
61,0,1,0,ham
49,0,0,0,ham
28,0,0,0,ham
82,0,0,0,ham
36,0,0,0,ham
116,0,1,0,ham
25,0,0,0,spam
40,0,2,0,ham
17,0,0,0,ham
97,0,1,0,ham
107,0,1,1,ham
51,0,0,0,ham
64,0,1,0,ham
15,0,0,0,ham
91,0,1,1,ham
20,0,0,0,ham
73,0,2,0,ham
57,0,1,0,ham
22,0,0,0,ham
26,0,0,0,ham
40,0,2,0,ham
39,0,0,0,ham
38,0,0,0,ham
29,0,0,0,ham
14,0,0,0,ham
44,0,0,0,ham
23,0,0,0,ham
26,0,0,0,ham
49,0,1,0,ham
49,0,3,1,spam
31,0,0,1,ham
60,0,4,0,ham
61,0,1,0,ham
46,0,2,0,ham
20,0,0,0,ham
46,0,0,0,ham
57,0,0,0,ham
73,0,0,1,ham
31,0,0,0,ham
38,0,0,0,ham
39,0,0,0,ham
58,0,0,0,spam
95,0,1,0,ham
82,0,1,0,ham
96,0,0,0,spam
63,0,0,0,ham
30,0,0,0,ham
159,0,1,0,ham
58,0,0,0,spam
20,0,0,0,ham
41,0,1,0,ham
39,0,1,0,ham
36,0,0,0,ham
90,0,0,0,ham
30,0,0,0,ham
32,0,0,0,ham
116,0,1,0,spam
30,0,0,0,spam
31,0,0,0,spam
41,0,1,0,ham
33,0,1,0,ham
94,0,1,0,ham
79,0,1,1,ham
50,0,0,0,spam
32,0,0,0,ham
49,0,0,0,ham
95,0,0,0,ham
55,0,1,0,ham
31,0,0,0,ham
39,0,0,0,ham
110,0,0,0,ham
122,0,3,0,ham
79,0,1,1,spam
73,0,0,0,ham
30,0,1,0,ham
56,0,1,0,ham
83,0,0,0,spam
38,0,0,0,ham
40,0,1,0,ham
87,0,3,0,ham
45,0,0,0,ham
59,0,0,0,ham
118,0,2,0,ham
45,0,0,0,ham
31,0,0,0,ham
43,0,3,0,ham
37,0,1,0,ham
30,0,0,0,ham
67,0,0,0,ham
25,0,0,0,ham
47,0,0,0,ham
42,0,0,0,ham
79,0,1,0,ham
68,0,0,0,ham
43,0,0,0,spam
31,0,0,0,spam
107,0,1,1,ham
74,0,0,0,ham
80,0,0,0,ham
58,0,0,1,ham
32,0,0,0,spam
93,0,1,0,ham
162,0,1,0,ham
83,0,2,0,ham
52,0,0,0,ham
127,0,0,0,ham
45,0,1,0,ham
34,0,0,0,ham
32,0,0,0,ham
65,0,0,0,ham
74,0,0,0,ham
36,0,0,0,ham
39,0,0,0,ham
37,0,0,0,spam
76,0,0,0,ham
64,0,0,0,spam
38,0,0,0,ham
60,0,0,0,ham
39,0,0,0,ham
40,0,0,0,ham
65,0,0,1,ham
46,0,0,0,ham
29,0,0,0,ham
49,0,1,0,ham
33,0,0,0,ham
27,0,0,0,spam
66,0,0,0,ham
45,0,0,0,ham
95,0,4,0,ham
50,0,0,0,ham
38,0,0,0,ham
42,0,0,0,ham
88,0,0,0,ham
38,0,0,0,ham
96,0,0,0,ham
64,0,0,0,ham
75,0,3,0,ham
34,0,0,0,spam
54,0,0,0,spam
33,0,0,0,ham
55,0,0,0,ham
61,0,0,0,ham
71,0,0,1,ham
170,0,0,0,ham
